-32.17379107236835, -52.08004655225186
-31.088632251587228, -50.567954567524886
-28.594652825116952, -48.722199446167515
-27.426241611374433, -48.27132562011896
-26.340281041276562, -48.44704922206547
-25.58101961923949, -48.31596517760174
-25.472686719192904, -48.207799523898665
-25.441678736965134, -48.161078361576415
-23.852339403301514, -45.5017911191121
-23.72428882034954, -45.36609209671287
-23.312018516640247, -44.49256822943117
-22.79127699384684, -41.08464804870361
-19.4552002957279, -39.48302643906624
-17.64326199954767, -38.969536740398844
-12.7043191, -38.0223385
-9.1903872, -35.1638094
-7.9344795, -34.7573153
-7.1308522, -34.7490755
-5.1585348, -35.2820574
-4.6858911, -37.2815691
-2.7801021, -40.0310632
-2.1351123, -43.7856584
-1.1754083, -44.8293595
-0.4723604, -47.9934220
-0.0988306, -49.7292619
-1.4480950, -51.6499695
-1.5359558, -52.5947937
-2.1728258, -56.1543641
-2.8752643, -56.7036805
-3.3140755, -58.3955750
-3.4456821, -58.8789734
