UF,price
AC,8.340
AL,7.050
AP,7.140
AM,7.130
BA,7.400
CE,7.030
DF,7.020
ES,6.960
GO,6.830
MA,7.100
MT,7.050
MS,7.010
MG,6.920
PA,7.340
PB,7.140
PR,6.940
PE,7.030
PI,7.350
RJ,7.160
RN,7.260
RS,6.820
RO,7.370
RR,7.510
SC,6.970
SP,7.080
SE,6.970
TO,6.990
