IDAtracacao;TEsperaAtracacao;TEsperaInicioOp;TOperacao;TEsperaDesatracacao;TAtracado;TEstadia
1554723;0,66666666674428;15,699999999837;46,483333333454;1,6499999999651;63,833333333256;64,5
1554724;0,60000000003492;20,466666666674;45,633333333302;1,3000000000466;67,400000000023;68,000000000058
1627413;0,60000000003492;2,8999999998487;57,333333333372;3,75;63,983333333221;64,583333333256
1627415;3,4166666666279;1,1666666666279;44,066666666768;6,8499999999767;52,083333333372;55,5
1554721;0,60000000003492;14,466666666674;43,016666666663;1,5;58,983333333337;59,583333333372
1554718;0,78333333344199;2,9166666665697;59,183333333465;1,1166666666395;63,216666666674;64,000000000116
1637050;0,6166666665813;10,900000000081;51,816666666535;1,6666666666861;64,383333333302;64,999999999884
1544780;0,61666666675592;7,5499999999884;50,016666666605;2,2333333334536;59,800000000047;60,416666666802
1554832;0,58333333331393;6,6666666665697;48;5,0000000000582;59,666666666628;60,249999999942
1637049;0,61666666675592;1,7666666666628;46,699999999953;2,6666666666279;51,133333333244;51,75
1544779;1,0333333333838;2,1666666665697;51,266666666663;1,3666666667559;54,799999999988;55,833333333372
1544777;0,65000000002328;13,966666666616;40,966666666791;3,4166666666279;58,350000000035;59,000000000058
1544772;0,61666666675592;13,099999999919;41,650000000081;1,4500000000116;56,200000000012;56,816666666768
1637051;7,0833333333721;5,9500000000116;58,133333333361;2,1666666667443;66,250000000116;73,333333333489
1554834;0,70000000001164;2,9666666667326;45,833333333256;3,8999999999651;52,699999999953;53,399999999965
1544775;0,63333333330229;4,1166666666395;48,75;1,3333333333139;54,199999999953;54,833333333256
1544773;0,5999999998603;17,000000000058;40,983333333337;3,5000000000582;61,483333333454;62,083333333314
1544865;0,76666666672099;4,7833333332092;53,900000000023;1,5499999999884;60,233333333221;60,999999999942
1544861;0,66666666656965;3;57,266666666663;1,5666666667094;61,833333333372;62,499999999942
1544859;0,60000000003492;7,0333333333838;2,8500000000349;49,516666666546;59,399999999965;60
1637052;15,449999999895;2,6166666666395;43,616666666698;11,483333333395;57,716666666733;73,166666666628
1544842;0,70000000001164;9,3833333333605;56,733333333337;1,4333333332906;67,549999999988;68,25
1544858;0,6166666665813;7,9000000000815;11,000000000058;49,233333333337;68,133333333477;68,750000000058
1544848;0,75;7,0833333333721;50,016666666605;1,5666666667094;58,666666666686;59,416666666686
1534960;0,66666666674428;26,783333333326;49,633333333244;1,8333333333721;78,249999999942;78,916666666686
1534956;0,60000000003492;12,999999999942;52,316666666768;1,5833333332557;66,899999999965;67,5
1594511;0,66666666656965;5,1666666667443;41,466666666674;2,6999999998952;49,333333333314;49,999999999884
1594504;0,53333333332557;10,466666666733;42,099999999977;1,8166666666511;54,383333333361;54,916666666686
1594487;0,5166666667792;16,649999999965;39,416666666628;4,0833333333721;60,149999999965;60,666666666744
1594498;0,58333333331393;2,1666666665697;40,366666666756;1,466666666558;43,999999999884;44,583333333198
1554844;0,46666666679084;8,1333333333023;48,983333333221;10,166666666802;67,283333333326;67,750000000116
1637056;7,0833333331975;4,3666666667559;38,61666666664;8,266666666721;51,250000000116;58,333333333314
1535018;0,75;10,816666666651;47,016666666779;1,3333333333139;59,166666666744;59,916666666744
1554835;0,86666666669771;2,7166666666162;51,83333333343;2,5833333333721;57,133333333419;58,000000000116
1637054;0,73333333327901;1,516666666721;47,25;15,999999999942;64,766666666663;65,499999999942
1535017;0,66666666674428;3,9166666666861;47,666666666628;6,6666666667443;58,250000000058;58,916666666802
